Disease,Symptoms,Medicine,Dosage,Precautions
"fever, headache",Viral Fever,Paracetamol,500mg every 6 hrs,"Stay hydrated, rest"
"cough, sore throat, cold",Common Cold,Paracetamol,500mg every 4 hrs,Avoid cold foods and drinks
"nausea, vomiting, stomach pain",Food Poisoning,ORS solution,Drink plenty of fluids,Avoid spicy food
"shortness of breath, chest pain",Asthma,Salbutamol inhaler,1 puff every 4 hrs,"Use inhaler as prescribed, avoid triggers"
"fatigue, weakness, fever",Dengue,Paracetamol,500mg every 6 hrs,"Stay hydrated, rest, avoid mosquito bites"
"dizziness, nausea, vomiting",Migraine,Sumatriptan,50mg as soon as symptoms appear,"Stay in a dark, quiet room"
"runny nose, cough, sore throat",Flu,Oseltamivir,75mg twice a day for 5 days,"Take complete rest, drink warm fluids"
"joint pain, fever, swollen lymph nodes",Rheumatic Fever,Aspirin,300mg twice a day,Complete the full course of medication
"stomach cramps, bloating",Constipation,Lactulose syrup,15ml once a day,"Increase fiber intake, drink more water"
"rash, fever, swollen lymph nodes",Measles,Vitamin A supplement,50000 IU once a day for 2 days,"Stay isolated, avoid contact"
"Chest pain, shortness of breath",Heart Attack,Aspirin,300mg immediately,Call emergency services immediately
"Severe headache, blurred vision",Hypertension Crisis,Captopril,25mg sublingual,"Sit upright, avoid exertion"
"Difficulty breathing, hives",Anaphylaxis,Epinephrine,"0.3mg IM, repeat if needed","Avoid allergens, carry EpiPen"
"Nausea, vomiting, diarrhea",Food Poisoning,ORS,Sip throughout the day,"Stay hydrated, avoid solid food"
"Sudden weakness, slurred speech",Stroke,Tissue Plasminogen Activator,As prescribed,Seek immediate medical attention
"Cough, fever, wheezing",Pneumonia,Amoxicillin,500mg every 8 hours,"Rest, stay hydrated, complete antibiotics"
"Swelling, redness, pain in wound",Wound Infection,Antibiotics,As prescribed,"Keep wound clean, change dressings"
"Itchy, watery eyes, sneezing",Allergic Reaction,Antihistamines,10mg once daily,"Avoid allergens, use air purifiers"
"Fever, chills, stiff neck",Meningitis,Ceftriaxone,IV as prescribed,Seek immediate medical attention
Burns with blistering,Second-degree Burn,Burn ointment,Apply twice daily,"Cool under running water, avoid breaking blisters"
"Persistent cough, fatigue",Bronchitis,Cough syrup,10ml every 4-6 hours,"Avoid smoking, stay hydrated"
"Sudden chest tightness, breathlessness",Asthma Attack,Salbutamol inhaler,2 puffs every 4 hours,"Avoid allergens, use prescribed inhalers"
"Severe abdominal pain, vomiting",Appendicitis,Pain relievers (temporary),As prescribed,Seek surgical consultation
Nosebleed,Epistaxis,Pinching nose,N/A,"Lean forward, avoid tilting head back"
"Extreme thirst, frequent urination",Diabetic Hyperglycemia,Insulin,Based on glucose level,"Monitor blood sugar, avoid sugary foods"
"Dizziness, sweating, fainting",Heatstroke,IV fluids,As required,"Cool environment, hydrate well"
"Bruising, joint pain, nosebleeds",Dengue,Paracetamol,500mg every 6 hours,"Avoid NSAIDs, stay hydrated"
"Swelling of leg, redness, pain",Deep Vein Thrombosis,Blood thinners,As prescribed,Avoid prolonged immobility
"Severe toothache, gum swelling",Dental Abscess,Amoxicillin,500mg every 8 hours,"Maintain oral hygiene, see a dentist"
"Seizures, confusion",Epilepsy,Antiepileptics,As prescribed,"Avoid triggers, take medication regularly"
"Rash, fever, muscle pain",Chickenpox,Calamine lotion,Apply as needed,"Avoid scratching, isolate to prevent spread"
"Pain, deformity in limb",Fracture,Pain relievers,As prescribed,"Immobilize limb, seek medical care"
"Sunburn with redness, pain",Sunburn,Aloe vera gel,Apply as needed,"Use sunscreen, avoid sun exposure"
"Painful urination, frequent urge",Urinary Tract Infection,Nitrofurantoin,100mg every 12 hours,"Stay hydrated, avoid irritants"
Sudden loss of consciousness,Fainting,N/A,N/A,"Lie flat, elevate legs"
"High fever, stiff joints",Rheumatic Fever,Aspirin,As prescribed,"Avoid strenuous activities, monitor fever"
Sharp abdominal pain,Gallstones,Pain relievers,As prescribed,Seek medical evaluation
